"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"2",1,1,23,5,"2015-01-23","US",20355,1904,"CLT","NC",800,752,-8,0,0,-1,"0800-0859",15,807,906,4,928,910,0,0,-2,"0900-0959",0,"",0,88,78,59,366,2,1,1
"3",1,1,23,5,"2015-01-23","US",20355,1968,"CLT","NC",1450,1449,-1,0,0,-1,"1400-1459",24,1513,1606,3,1613,1609,0,0,-1,"1600-1659",0,"",0,83,80,53,366,2,0,0
"8",1,1,23,5,"2015-01-23","US",20355,2030,"PHL","PA",1345,1340,-5,0,0,-1,"1300-1359",14,1354,1444,5,1500,1449,0,0,-1,"1500-1559",0,"",0,75,69,50,268,2,0,0
"13",1,1,24,6,"2015-01-24","US",20355,489,"PHX","AZ",959,948,-11,0,0,-1,"0900-0959",17,1005,1552,5,1559,1557,0,0,-1,"1500-1559",0,"",0,240,249,227,1814,8,1,0
"14",1,1,24,6,"2015-01-24","US",20355,634,"PHX","AZ",1555,1550,-5,0,0,-1,"1500-1559",14,1604,2152,7,2142,2159,17,1,1,"2100-2159",0,"",0,227,249,228,1814,8,0,0
"15",1,1,26,1,"2015-01-26","US",20355,726,"LAX","CA",1130,1128,-2,0,0,-1,"1100-1159",21,1149,1916,7,1858,1923,25,1,1,"1800-1859",0,"",0,268,295,267,2136,9,1,0
"17",1,1,26,1,"2015-01-26","US",20355,1705,"PHL","PA",1610,1605,-5,0,0,-1,"1600-1659",13,1618,1701,6,1729,1707,0,0,-2,"1700-1759",0,"",0,79,62,43,268,2,0,0
"19",1,1,26,1,"2015-01-26","US",20355,1745,"CLT","NC",1630,1629,-1,0,0,-1,"1600-1659",26,1655,1753,9,1752,1802,10,0,0,"1700-1759",0,"",0,82,93,58,366,2,0,0
"20",1,1,26,1,"2015-01-26","US",20355,1747,"CLT","NC",1959,1958,-1,0,0,-1,"1900-1959",12,2010,2110,7,2118,2117,0,0,-1,"2100-2159",0,"",0,79,79,60,366,2,0,0
"22",1,1,26,1,"2015-01-26","US",20355,1801,"CLT","NC",950,948,-2,0,0,-1,"0900-0959",14,1002,1312,10,1120,1322,NA,NA,NA,"1100-1159",0,"",1,90,NA,NA,366,2,1,1
"23",1,1,26,1,"2015-01-26","US",20355,1815,"CLT","NC",1145,1145,0,0,0,0,"1100-1159",17,1202,1304,9,1310,1313,3,0,0,"1300-1359",0,"",0,85,88,62,366,2,1,0
"24",1,1,26,1,"2015-01-26","US",20355,1838,"PHL","PA",2030,2024,-6,0,0,-1,"2000-2059",35,2059,2144,6,2143,2150,7,0,0,"2100-2159",0,"",0,73,86,45,268,2,0,0
"25",1,1,26,1,"2015-01-26","US",20355,1840,"CLT","NC",1805,1803,-2,0,0,-1,"1800-1859",9,1812,1911,7,1926,1918,0,0,-1,"1900-1959",0,"",0,81,75,59,366,2,0,0
"26",1,1,26,1,"2015-01-26","US",20355,1842,"CLT","NC",1315,1312,-3,0,0,-1,"1300-1359",17,1329,1427,7,1440,1434,0,0,-1,"1400-1459",0,"",0,85,82,58,366,2,0,0
"30",1,1,25,7,"2015-01-25","US",20355,1705,"PHL","PA",1610,1604,-6,0,0,-1,"1600-1659",27,1631,1724,7,1729,1731,2,0,0,"1700-1759",0,"",0,79,87,53,268,2,0,0
"33",1,1,25,7,"2015-01-25","US",20355,1745,"CLT","NC",1630,1627,-3,0,0,-1,"1600-1659",13,1640,1743,5,1752,1748,0,0,-1,"1700-1759",0,"",0,82,81,63,366,2,0,0
"36",1,1,25,7,"2015-01-25","US",20355,1801,"CLT","NC",950,954,4,4,0,0,"0900-0959",28,1022,1114,5,1120,1119,0,0,-1,"1100-1159",0,"",0,90,85,52,366,2,1,1
"37",1,1,25,7,"2015-01-25","US",20355,1815,"CLT","NC",1145,1141,-4,0,0,-1,"1100-1159",24,1205,1300,4,1310,1304,0,0,-1,"1300-1359",0,"",0,85,83,55,366,2,1,0
"38",1,1,25,7,"2015-01-25","US",20355,1838,"PHL","PA",2029,2042,13,13,0,0,"2000-2059",13,2055,2146,7,2138,2153,15,1,1,"2100-2159",0,"",0,69,71,51,268,2,0,0
"39",1,1,25,7,"2015-01-25","US",20355,1840,"CLT","NC",1810,1815,5,5,0,0,"1800-1859",30,1845,1947,7,1935,1954,19,1,1,"1900-1959",0,"",0,85,99,62,366,2,0,0
"40",1,1,25,7,"2015-01-25","US",20355,1842,"CLT","NC",1315,1310,-5,0,0,-1,"1300-1359",21,1331,1429,4,1440,1433,0,0,-1,"1400-1459",0,"",0,85,83,58,366,2,0,0
"41",1,1,25,7,"2015-01-25","US",20355,1856,"CLT","NC",1959,2056,57,57,1,3,"1900-1959",14,2110,2224,7,2118,2231,73,1,4,"2100-2159",0,"",0,79,95,74,366,2,0,0
"47",1,1,25,7,"2015-01-25","US",20355,1990,"CLT","NC",2209,2205,-4,0,0,-1,"2200-2259",10,2215,2313,11,2326,2324,0,0,-1,"2300-2359",0,"",0,77,79,58,366,2,0,0
"48",1,1,25,7,"2015-01-25","US",20355,2030,"PHL","PA",1345,1342,-3,0,0,-1,"1300-1359",15,1357,1446,5,1500,1451,0,0,-1,"1500-1559",0,"",0,75,69,49,268,2,0,0
"50",1,1,26,1,"2015-01-26","US",20355,489,"PHX","AZ",959,954,-5,0,0,-1,"0900-0959",27,1021,1601,10,1559,1611,12,0,0,"1500-1559",0,"",0,240,257,220,1814,8,1,0
"52",1,1,26,1,"2015-01-26","US",20355,634,"PHX","AZ",1555,1551,-4,0,0,-1,"1500-1559",10,1601,2142,6,2142,2148,6,0,0,"2100-2159",0,"",0,227,237,221,1814,8,0,0
"53",1,1,28,3,"2015-01-28","US",20355,634,"PHX","AZ",1555,1547,-8,0,0,-1,"1500-1559",10,1557,2122,5,2142,2127,0,0,-1,"2100-2159",0,"",0,227,220,205,1814,8,0,0
"54",1,1,28,3,"2015-01-28","US",20355,1705,"PHL","PA",1610,1607,-3,0,0,-1,"1600-1659",22,1629,1714,7,1729,1721,0,0,-1,"1700-1759",0,"",0,79,74,45,268,2,0,0
"57",1,1,28,3,"2015-01-28","US",20355,1745,"CLT","NC",1630,1628,-2,0,0,-1,"1600-1659",17,1645,1747,7,1752,1754,2,0,0,"1700-1759",0,"",0,82,86,62,366,2,0,0
"58",1,1,28,3,"2015-01-28","US",20355,1747,"CLT","NC",1959,2003,4,4,0,0,"1900-1959",22,2025,2132,4,2118,2136,18,1,1,"2100-2159",0,"",0,79,93,67,366,2,0,0
"59",1,1,28,3,"2015-01-28","US",20355,1793,"CLT","NC",2209,2205,-4,0,0,-1,"2200-2259",11,2216,2319,9,2326,2328,2,0,0,"2300-2359",0,"",0,77,83,63,366,2,0,0
"61",1,1,28,3,"2015-01-28","US",20355,1801,"CLT","NC",950,946,-4,0,0,-1,"0900-0959",22,1008,1113,5,1120,1118,0,0,-1,"1100-1159",0,"",0,90,92,65,366,2,1,1
"62",1,1,28,3,"2015-01-28","US",20355,1815,"CLT","NC",1145,1141,-4,0,0,-1,"1100-1159",24,1205,1314,6,1310,1320,10,0,0,"1300-1359",0,"",0,85,99,69,366,2,1,0
"63",1,1,28,3,"2015-01-28","US",20355,1838,"PHL","PA",2030,2022,-8,0,0,-1,"2000-2059",13,2035,2121,4,2143,2125,0,0,-2,"2100-2159",0,"",0,73,63,46,268,2,0,0
"64",1,1,28,3,"2015-01-28","US",20355,1840,"CLT","NC",1805,1801,-4,0,0,-1,"1800-1859",12,1813,1917,5,1926,1922,0,0,-1,"1900-1959",0,"",0,81,81,64,366,2,0,0
"65",1,1,28,3,"2015-01-28","US",20355,1842,"CLT","NC",1315,1314,-1,0,0,-1,"1300-1359",19,1333,1444,4,1440,1448,8,0,0,"1400-1459",0,"",0,85,94,71,366,2,0,0
"69",1,1,28,3,"2015-01-28","US",20355,1904,"CLT","NC",800,752,-8,0,0,-1,"0800-0859",31,823,929,5,928,934,6,0,0,"0900-0959",0,"",0,88,102,66,366,2,1,1
"73",1,1,25,7,"2015-01-25","US",20355,489,"PHX","AZ",959,957,-2,0,0,-1,"0900-0959",28,1025,1637,4,1559,1641,42,1,2,"1500-1559",0,"",0,240,284,252,1814,8,1,0
"75",1,1,25,7,"2015-01-25","US",20355,634,"PHX","AZ",1555,1553,-2,0,0,-1,"1500-1559",10,1603,2158,6,2142,2204,22,1,1,"2100-2159",0,"",0,227,251,235,1814,8,0,0
"76",1,1,27,2,"2015-01-27","US",20355,1705,"PHL","PA",1610,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1729,NA,NA,NA,NA,"1700-1759",1,"B",0,79,NA,NA,268,2,0,0
"78",1,1,27,2,"2015-01-27","US",20355,1745,"CLT","NC",1630,1634,4,4,0,0,"1600-1659",20,1654,1752,5,1752,1757,5,0,0,"1700-1759",0,"",0,82,83,58,366,2,0,0
"79",1,1,27,2,"2015-01-27","US",20355,1747,"CLT","NC",1959,2129,90,90,1,6,"1900-1959",12,2141,2241,6,2118,2247,89,1,5,"2100-2159",0,"",0,79,78,60,366,2,0,0
"81",1,1,27,2,"2015-01-27","US",20355,1801,"CLT","NC",950,946,-4,0,0,-1,"0900-0959",22,1008,1108,5,1120,1113,0,0,-1,"1100-1159",0,"",0,90,87,60,366,2,1,1
"82",1,1,27,2,"2015-01-27","US",20355,1815,"CLT","NC",1145,1145,0,0,0,0,"1100-1159",21,1206,1307,7,1310,1314,4,0,0,"1300-1359",0,"",0,85,89,61,366,2,1,0
"83",1,1,27,2,"2015-01-27","US",20355,1838,"PHL","PA",2030,NA,NA,NA,NA,NA,"2000-2059",NA,NA,NA,NA,2143,NA,NA,NA,NA,"2100-2159",1,"B",0,73,NA,NA,268,2,0,0
"84",1,1,27,2,"2015-01-27","US",20355,1840,"CLT","NC",1805,1803,-2,0,0,-1,"1800-1859",20,1823,1920,7,1926,1927,1,0,0,"1900-1959",0,"",0,81,84,57,366,2,0,0
"85",1,1,27,2,"2015-01-27","US",20355,1842,"CLT","NC",1315,1438,83,83,1,5,"1300-1359",28,1506,1607,6,1440,1613,93,1,6,"1400-1459",0,"",0,85,95,61,366,2,0,0
"88",1,1,27,2,"2015-01-27","US",20355,1904,"CLT","NC",800,756,-4,0,0,-1,"0800-0859",19,815,913,8,928,921,0,0,-1,"0900-0959",0,"",0,88,85,58,366,2,1,1
"94",1,1,27,2,"2015-01-27","US",20355,2030,"PHL","PA",1345,NA,NA,NA,NA,NA,"1300-1359",NA,NA,NA,NA,1500,NA,NA,NA,NA,"1500-1559",1,"B",0,75,NA,NA,268,2,0,0
"97",1,1,28,3,"2015-01-28","US",20355,489,"PHX","AZ",959,950,-9,0,0,-1,"0900-0959",27,1017,1545,5,1559,1550,0,0,-1,"1500-1559",0,"",0,240,240,208,1814,8,1,0
"100",1,1,30,5,"2015-01-30","US",20355,489,"PHX","AZ",959,956,-3,0,0,-1,"0900-0959",25,1021,1546,7,1559,1553,0,0,-1,"1500-1559",0,"",0,240,237,205,1814,8,1,0
"102",1,1,26,1,"2015-01-26","US",20355,1904,"CLT","NC",800,756,-4,0,0,-1,"0800-0859",20,816,922,8,928,930,2,0,0,"0900-0959",0,"",0,88,94,66,366,2,1,1
"108",1,1,26,1,"2015-01-26","US",20355,2030,"PHL","PA",1345,1344,-1,0,0,-1,"1300-1359",38,1422,1514,7,1500,1521,21,1,1,"1500-1559",0,"",0,75,97,52,268,2,0,0
"111",1,1,27,2,"2015-01-27","US",20355,592,"PHX","AZ",1330,1337,7,7,0,0,"1300-1359",13,1350,1924,4,1922,1928,6,0,0,"1900-1959",0,"",0,232,231,214,1814,8,0,0
"112",1,1,29,4,"2015-01-29","US",20355,489,"PHX","AZ",959,949,-10,0,0,-1,"0900-0959",28,1017,1537,5,1559,1542,0,0,-2,"1500-1559",0,"",0,240,233,200,1814,8,1,0
"114",1,1,29,4,"2015-01-29","US",20355,634,"PHX","AZ",1555,1547,-8,0,0,-1,"1500-1559",17,1604,2128,7,2142,2135,0,0,-1,"2100-2159",0,"",0,227,228,204,1814,8,0,0
"115",1,1,29,4,"2015-01-29","US",20355,726,"LAX","CA",1130,1122,-8,0,0,-1,"1100-1159",21,1143,1840,8,1858,1848,0,0,-1,"1800-1859",0,"",0,268,266,237,2136,9,1,0
"117",1,1,29,4,"2015-01-29","US",20355,1705,"PHL","PA",1610,1611,1,1,0,0,"1600-1659",40,1651,1739,5,1729,1744,15,1,1,"1700-1759",0,"",0,79,93,48,268,2,0,0
"120",1,1,29,4,"2015-01-29","US",20355,1745,"CLT","NC",1630,1633,3,3,0,0,"1600-1659",14,1647,1748,5,1752,1753,1,0,0,"1700-1759",0,"",0,82,80,61,366,2,0,0
"121",1,1,29,4,"2015-01-29","US",20355,1747,"CLT","NC",1959,1957,-2,0,0,-1,"1900-1959",11,2008,2106,6,2118,2112,0,0,-1,"2100-2159",0,"",0,79,75,58,366,2,0,0
"122",1,1,29,4,"2015-01-29","US",20355,1793,"CLT","NC",2209,2205,-4,0,0,-1,"2200-2259",10,2215,2311,5,2326,2316,0,0,-1,"2300-2359",0,"",0,77,71,56,366,2,0,0
