"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","DEST","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"1",1,1,23,5,"2015-01-23","US",20355,1891,"CLT","NC",1530,1523,-7,0,0,-1,"1500-1559",10,1533,1650,14,1702,1704,2,0,0,"1700-1759",0,"",0,92,101,77,366,2,0,0
"4",1,1,23,5,"2015-01-23","US",20355,1986,"PHL","PA",1530,1524,-6,0,0,-1,"1500-1559",16,1540,1634,4,1702,1638,0,0,-2,"1700-1759",0,"",0,92,74,54,268,2,0,0
"5",1,1,23,5,"2015-01-23","US",20355,2013,"CLT","NC",645,638,-7,0,0,-1,"0600-0659",10,648,806,9,831,815,0,0,-2,"0800-0859",0,"",0,106,97,78,366,2,1,1
"6",1,1,23,5,"2015-01-23","US",20355,2018,"CLT","NC",835,834,-1,0,0,-1,"0800-0859",10,844,1001,8,1019,1009,0,0,-1,"1000-1059",0,"",0,104,95,77,366,2,1,1
"7",1,1,23,5,"2015-01-23","US",20355,2024,"PHL","PA",720,710,-10,0,0,-1,"0700-0759",16,726,815,2,853,817,0,0,-2,"0800-0859",0,"",0,93,67,49,268,2,1,1
"9",1,1,23,5,"2015-01-23","US",20355,2038,"CLT","NC",1910,1903,-7,0,0,-1,"1900-1959",14,1917,2034,13,2044,2047,3,0,0,"2000-2059",0,"",0,94,104,77,366,2,0,0
"10",1,1,23,5,"2015-01-23","US",20355,2050,"CLT","NC",515,509,-6,0,0,-1,"0001-0559",11,520,623,9,648,632,0,0,-2,"0600-0659",0,"",0,93,83,63,366,2,1,1
"11",1,1,24,6,"2015-01-24","US",20355,415,"PHX","AZ",700,656,-4,0,0,-1,"0700-0759",38,734,926,32,1004,958,0,0,-1,"1000-1059",0,"",0,304,302,232,1814,8,1,1
"12",1,1,24,6,"2015-01-24","US",20355,449,"PHX","AZ",1725,1715,-10,0,0,-1,"1700-1759",16,1731,1944,4,2010,1948,0,0,-2,"2000-2059",0,"",0,285,273,253,1814,8,0,0
"16",1,1,26,1,"2015-01-26","US",20355,727,"LAX","CA",800,748,-12,0,0,-1,"0800-0859",51,839,1010,5,1041,1015,0,0,-2,"1000-1059",0,"",0,341,327,271,2136,9,1,1
"18",1,1,26,1,"2015-01-26","US",20355,1705,"PHL","PA",1810,1809,-1,0,0,-1,"1800-1859",48,1857,1945,6,1936,1951,15,1,1,"1900-1959",0,"",0,86,102,48,268,2,0,0
"21",1,1,26,1,"2015-01-26","US",20355,1794,"CLT","NC",1205,1400,115,115,1,7,"1200-1259",41,1441,1544,6,1337,1550,133,1,8,"1300-1359",0,"",0,92,110,63,366,2,0,0
"27",1,1,26,1,"2015-01-26","US",20355,1869,"CLT","NC",1025,1025,0,0,0,0,"1000-1059",37,1102,1212,8,1202,1220,18,1,1,"1200-1259",0,"",0,97,115,70,366,2,1,0
"28",1,1,26,1,"2015-01-26","US",20355,1891,"CLT","NC",1530,1526,-4,0,0,-1,"1500-1559",27,1553,1702,7,1702,1709,7,0,0,"1700-1759",0,"",0,92,103,69,366,2,0,0
