"","X","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_STATE_ABR","DEST_WAC","CRS_DEP_TIME","CRS_ARR_TIME","CRS_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"1",1,2016,1,1,1,5,"2016-01-01","AA",19805,727,14122,1412202,30198,"PIT","PA",23,12892,1289203,32575,"LAX","CA",91,605,841,336,2136,9,1,1
"2",2,2016,1,1,1,5,"2016-01-01","WN",19393,2101,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,630,920,170,994,4,1,1
"3",3,2016,1,1,2,6,"2016-01-02","WN",19393,6312,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,1555,1830,155,994,4,0,0
"4",4,2016,1,1,2,6,"2016-01-02","B6",20409,1786,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1931,2103,92,496,2,0,0
"5",5,2016,1,1,3,7,"2016-01-03","B6",20409,2007,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,700,957,177,994,4,1,1
"6",6,2016,1,1,3,7,"2016-01-03","WN",19393,2481,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,705,1000,175,994,4,1,1
"7",7,2016,1,1,3,7,"2016-01-03","OO",20304,5640,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1019,1103,104,413,2,1,1
"8",8,2016,1,1,4,1,"2016-01-04","WN",19393,2902,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1800,1840,100,402,2,0,0
"9",9,2016,1,1,4,1,"2016-01-04","UA",19977,526,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1806,1855,109,413,2,0,0
"10",10,2016,1,1,4,1,"2016-01-04","AA",19805,1786,14122,1412202,30198,"PIT","PA",23,14100,1410002,34100,"PHL","PA",23,1825,1955,90,268,2,0,0
"11",11,2016,1,1,5,2,"2016-01-05","B6",20409,1286,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,905,1037,92,496,2,1,1
"12",12,2016,1,1,5,2,"2016-01-05","WN",19393,1542,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,945,1020,95,402,2,1,1
"13",13,2016,1,1,6,3,"2016-01-06","WN",19393,1928,14122,1412202,30198,"PIT","PA",23,10821,1082103,30852,"BWI","MD",35,1755,1905,70,210,1,0,0
"14",14,2016,1,1,6,3,"2016-01-06","DL",19790,1462,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1759,1958,119,526,3,0,0
"15",15,2016,1,1,6,3,"2016-01-06","AA",19805,1708,14122,1412202,30198,"PIT","PA",23,14100,1410002,34100,"PHL","PA",23,1821,1955,94,268,2,0,0
"16",16,2016,1,1,7,4,"2016-01-07","AA",19805,1831,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,845,1032,107,366,2,1,1
"17",17,2016,1,1,7,4,"2016-01-07","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"18",18,2016,1,1,7,4,"2016-01-07","OO",20304,5542,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1441,1700,199,1117,5,0,0
"19",19,2016,1,1,8,5,"2016-01-08","WN",19393,369,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1440,1515,95,402,2,0,0
"20",20,2016,1,1,8,5,"2016-01-08","OO",20304,5542,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1441,1700,199,1117,5,0,0
"21",21,2016,1,1,9,6,"2016-01-09","WN",19393,2710,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1340,1625,165,966,4,0,0
"22",22,2016,1,1,9,6,"2016-01-09","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1745,1924,99,496,2,0,0
"23",23,2016,1,1,10,7,"2016-01-10","WN",19393,1581,14122,1412202,30198,"PIT","PA",23,11259,1125903,30194,"DAL","TX",74,1505,1720,195,1060,5,0,0
"24",24,2016,1,1,10,7,"2016-01-10","AA",19805,1426,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,1518,1737,199,1067,5,0,0
"25",25,2016,1,1,10,7,"2016-01-10","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1525,1723,118,526,3,0,0
"26",26,2016,1,1,11,1,"2016-01-11","AA",19805,654,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1200,1335,95,366,2,0,0
"27",27,2016,1,1,11,1,"2016-01-11","WN",19393,1452,14122,1412202,30198,"PIT","PA",23,10821,1082103,30852,"BWI","MD",35,1250,1355,65,210,1,0,0
"28",28,2016,1,1,12,2,"2016-01-12","WN",19393,498,14122,1412202,30198,"PIT","PA",23,10693,1069302,30693,"BNA","TN",54,615,710,115,462,2,1,1
"29",29,2016,1,1,12,2,"2016-01-12","EV",20366,4212,14122,1412202,30198,"PIT","PA",23,11618,1161802,31703,"EWR","NJ",21,907,1034,87,319,2,1,1
"30",30,2016,1,1,13,3,"2016-01-13","AA",19805,2113,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,700,1011,311,1814,8,1,1
"31",31,2016,1,1,13,3,"2016-01-13","WN",19393,1866,14122,1412202,30198,"PIT","PA",23,12889,1288903,32211,"LAS","NV",85,715,925,310,1910,8,1,1
"32",32,2016,1,1,14,4,"2016-01-14","AA",19805,1802,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1359,1532,93,366,2,0,0
"33",33,2016,1,1,14,4,"2016-01-14","WN",19393,369,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1440,1515,95,402,2,0,0
"34",34,2016,1,1,14,4,"2016-01-14","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1502,1700,118,526,3,0,0
"35",35,2016,1,1,14,4,"2016-01-14","UA",19977,709,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,1620,1758,218,1290,6,0,0
"36",36,2016,1,1,15,5,"2016-01-15","WN",19393,2171,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1935,2200,145,834,4,0,0
"37",37,2016,1,1,16,6,"2016-01-16","EV",20366,4905,14122,1412202,30198,"PIT","PA",23,13487,1348702,31650,"MSP","MN",63,1255,1418,143,726,3,0,0
"38",38,2016,1,1,16,6,"2016-01-16","WN",19393,3791,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1300,1335,95,402,2,0,0
"39",39,2016,1,1,16,6,"2016-01-16","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1745,1924,99,496,2,0,0
"40",40,2016,1,1,17,7,"2016-01-17","WN",19393,2873,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,640,940,180,994,4,1,1
"41",41,2016,1,1,17,7,"2016-01-17","AA",19805,1853,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,655,842,107,366,2,1,1
"42",42,2016,1,1,18,1,"2016-01-18","AA",19805,1347,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,806,1030,204,1067,5,1,1
"43",43,2016,1,1,18,1,"2016-01-18","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"44",44,2016,1,1,19,2,"2016-01-19","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"45",45,2016,1,1,19,2,"2016-01-19","DL",19790,1677,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,945,1140,115,526,3,1,1
"46",46,2016,1,1,20,3,"2016-01-20","WN",19393,923,14122,1412202,30198,"PIT","PA",23,15304,1530402,33195,"TPA","FL",33,1030,1305,155,873,4,1,0
"47",47,2016,1,1,20,3,"2016-01-20","B6",20409,1486,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1100,1232,92,496,2,1,0
"48",48,2016,1,1,20,3,"2016-01-20","AA",19805,2045,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1200,1335,95,366,2,0,0
"49",49,2016,1,1,21,4,"2016-01-21","AA",19805,2113,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,700,1011,311,1814,8,1,1
