"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_STATE_ABR","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME","DEP_AM_PM","ARR_AM_PM"
"1",2016,1,1,1,5,"2016-01-01","AA",19805,727,14122,1412202,30198,"PIT","PA",23,12892,1289203,32575,"LAX","CA",91,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,2136,9,0,0,0,0,0,0,0,0,"1","1"
"2",2016,1,1,1,5,"2016-01-01","WN",19393,2101,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,994,4,0,0,0,0,0,0,0,0,"1","1"
"3",2016,1,1,2,6,"2016-01-02","WN",19393,6312,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,994,4,0,0,0,0,0,0,0,0,"0","0"
"4",2016,1,1,2,6,"2016-01-02","B6",20409,1786,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2103,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,496,2,0,0,0,0,0,0,0,0,"0","0"
"5",2016,1,1,3,7,"2016-01-03","B6",20409,2007,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,994,4,0,0,0,0,0,0,0,0,"1","1"
"6",2016,1,1,3,7,"2016-01-03","WN",19393,2481,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,994,4,0,0,0,0,0,0,0,0,"1","1"
"7",2016,1,1,3,7,"2016-01-03","OO",20304,5640,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,413,2,0,0,0,0,0,0,0,0,"1","1"
"8",2016,1,1,4,1,"2016-01-04","WN",19393,2902,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,402,2,0,0,0,0,0,0,0,0,"0","0"
"9",2016,1,1,4,1,"2016-01-04","UA",19977,526,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,413,2,0,0,0,0,0,0,0,0,"0","0"
"10",2016,1,1,4,1,"2016-01-04","AA",19805,1786,14122,1412202,30198,"PIT","PA",23,14100,1410002,34100,"PHL","PA",23,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,268,2,0,0,0,0,0,0,0,0,"0","0"
"11",2016,1,1,5,2,"2016-01-05","B6",20409,1286,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,496,2,0,0,0,0,0,0,0,0,"1","1"
"12",2016,1,1,5,2,"2016-01-05","WN",19393,1542,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,402,2,0,0,0,0,0,0,0,0,"1","1"
"13",2016,1,1,6,3,"2016-01-06","WN",19393,1928,14122,1412202,30198,"PIT","PA",23,10821,1082103,30852,"BWI","MD",35,1755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,210,1,0,0,0,0,0,0,0,0,"0","0"
"14",2016,1,1,6,3,"2016-01-06","DL",19790,1462,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,526,3,0,0,0,0,0,0,0,0,"0","0"
"15",2016,1,1,6,3,"2016-01-06","AA",19805,1708,14122,1412202,30198,"PIT","PA",23,14100,1410002,34100,"PHL","PA",23,1821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,268,2,0,0,0,0,0,0,0,0,"0","0"
"16",2016,1,1,7,4,"2016-01-07","AA",19805,1831,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,366,2,0,0,0,0,0,0,0,0,"1","1"
"17",2016,1,1,7,4,"2016-01-07","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,1290,6,0,0,0,0,0,0,0,0,"1","1"
"18",2016,1,1,7,4,"2016-01-07","OO",20304,5542,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,1117,5,0,0,0,0,0,0,0,0,"0","0"
"19",2016,1,1,8,5,"2016-01-08","WN",19393,369,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1515,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,402,2,0,0,0,0,0,0,0,0,"0","0"
"20",2016,1,1,8,5,"2016-01-08","OO",20304,5542,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,1117,5,0,0,0,0,0,0,0,0,"0","0"
"21",2016,1,1,9,6,"2016-01-09","WN",19393,2710,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,966,4,0,0,0,0,0,0,0,0,"0","0"
"22",2016,1,1,9,6,"2016-01-09","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,496,2,0,0,0,0,0,0,0,0,"0","0"
"23",2016,1,1,10,7,"2016-01-10","WN",19393,1581,14122,1412202,30198,"PIT","PA",23,11259,1125903,30194,"DAL","TX",74,1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1720,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,1060,5,0,0,0,0,0,0,0,0,"0","0"
"24",2016,1,1,10,7,"2016-01-10","AA",19805,1426,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,1067,5,0,0,0,0,0,0,0,0,"0","0"
"25",2016,1,1,10,7,"2016-01-10","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1723,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,526,3,0,0,0,0,0,0,0,0,"0","0"
"26",2016,1,1,11,1,"2016-01-11","AA",19805,654,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1335,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,366,2,0,0,0,0,0,0,0,0,"0","0"
"27",2016,1,1,11,1,"2016-01-11","WN",19393,1452,14122,1412202,30198,"PIT","PA",23,10821,1082103,30852,"BWI","MD",35,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,210,1,0,0,0,0,0,0,0,0,"0","0"
"28",2016,1,1,12,2,"2016-01-12","WN",19393,498,14122,1412202,30198,"PIT","PA",23,10693,1069302,30693,"BNA","TN",54,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,462,2,0,0,0,0,0,0,0,0,"1","1"
"29",2016,1,1,12,2,"2016-01-12","EV",20366,4212,14122,1412202,30198,"PIT","PA",23,11618,1161802,31703,"EWR","NJ",21,907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,319,2,0,0,0,0,0,0,0,0,"1","1"
"30",2016,1,1,13,3,"2016-01-13","AA",19805,2113,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,1814,8,0,0,0,0,0,0,0,0,"1","1"
"31",2016,1,1,13,3,"2016-01-13","WN",19393,1866,14122,1412202,30198,"PIT","PA",23,12889,1288903,32211,"LAS","NV",85,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,NA,1910,8,0,0,0,0,0,0,0,0,"1","1"
"32",2016,1,1,14,4,"2016-01-14","AA",19805,1802,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,366,2,0,0,0,0,0,0,0,0,"0","0"
"33",2016,1,1,14,4,"2016-01-14","WN",19393,369,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1515,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,402,2,0,0,0,0,0,0,0,0,"0","0"
"34",2016,1,1,14,4,"2016-01-14","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,526,3,0,0,0,0,0,0,0,0,"0","0"
"35",2016,1,1,14,4,"2016-01-14","UA",19977,709,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1758,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA,1290,6,0,0,0,0,0,0,0,0,"0","0"
"36",2016,1,1,15,5,"2016-01-15","WN",19393,2171,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,834,4,0,0,0,0,0,0,0,0,"0","0"
