"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","DEST","DEST_STATE_ABR","CRS_DEP_TIME","CRS_ARR_TIME","CRS_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"1",1,1,1,5,"2016-01-01","AA",19805,727,"LAX","CA",605,841,336,2136,9,1,1
"2",1,1,1,5,"2016-01-01","WN",19393,2101,"FLL","FL",630,920,170,994,4,1,1
"3",1,1,2,6,"2016-01-02","WN",19393,6312,"FLL","FL",1555,1830,155,994,4,0,0
"4",1,1,2,6,"2016-01-02","B6",20409,1786,"BOS","MA",1931,2103,92,496,2,0,0
"5",1,1,3,7,"2016-01-03","B6",20409,2007,"FLL","FL",700,957,177,994,4,1,1
"6",1,1,3,7,"2016-01-03","WN",19393,2481,"FLL","FL",705,1000,175,994,4,1,1
"7",1,1,3,7,"2016-01-03","OO",20304,5640,"ORD","IL",1019,1103,104,413,2,1,1
"8",1,1,4,1,"2016-01-04","WN",19393,2902,"MDW","IL",1800,1840,100,402,2,0,0
"9",1,1,4,1,"2016-01-04","UA",19977,526,"ORD","IL",1806,1855,109,413,2,0,0
"10",1,1,4,1,"2016-01-04","AA",19805,1786,"PHL","PA",1825,1955,90,268,2,0,0
"11",1,1,5,2,"2016-01-05","B6",20409,1286,"BOS","MA",905,1037,92,496,2,1,1
"12",1,1,5,2,"2016-01-05","WN",19393,1542,"MDW","IL",945,1020,95,402,2,1,1
"13",1,1,6,3,"2016-01-06","WN",19393,1928,"BWI","MD",1755,1905,70,210,1,0,0
"14",1,1,6,3,"2016-01-06","DL",19790,1462,"ATL","GA",1759,1958,119,526,3,0,0
"15",1,1,6,3,"2016-01-06","AA",19805,1708,"PHL","PA",1821,1955,94,268,2,0,0
"16",1,1,7,4,"2016-01-07","AA",19805,1831,"CLT","NC",845,1032,107,366,2,1,1
"17",1,1,7,4,"2016-01-07","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
