"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"46",1,1,2,6,"2016-01-02","EV",20366,4260,"EWR","NJ",1042,1035,-7,0,0,-1,"1000-1059",20,1055,1155,5,1219,1200,0,0,-2,"1200-1259",0,"",0,97,85,60,319,2,1,0
"47",1,1,2,6,"2016-01-02","EV",20366,5931,"EWR","NJ",911,934,23,23,1,1,"0900-0959",18,952,1051,7,1048,1058,10,0,0,"1000-1059",0,"",0,97,84,59,319,2,1,1
"48",1,1,2,6,"2016-01-02","AA",19805,1426,"DFW","TX",1045,1048,3,3,0,0,"1000-1059",15,1103,1408,3,1423,1411,0,0,-1,"1400-1459",0,"",0,158,143,125,1067,5,1,0
"49",1,1,2,6,"2016-01-02","B6",20409,1285,"BOS","MA",625,622,-3,0,0,-1,"0600-0659",13,635,751,3,824,754,0,0,-2,"0800-0859",0,"",0,119,92,76,496,2,1,1
"50",1,1,2,6,"2016-01-02","AA",19805,1801,"CLT","NC",945,942,-3,0,0,-1,"0900-0959",21,1003,1102,4,1112,1106,0,0,-1,"1100-1159",0,"",0,87,84,59,366,2,1,1
"51",1,1,2,6,"2016-01-02","DL",19790,1295,"ATL","GA",907,945,38,38,1,2,"0900-0959",16,1001,1112,5,1043,1117,34,1,2,"1000-1059",0,"",0,96,92,71,526,3,1,1
"52",1,1,2,6,"2016-01-02","DL",19790,1599,"ATL","GA",1115,1113,-2,0,0,-1,"1100-1159",16,1129,1244,7,1255,1251,0,0,-1,"1200-1259",0,"",0,100,98,75,526,3,1,0
"53",1,1,2,6,"2016-01-02","OO",20304,6353,"ORD","IL",1105,1156,51,51,1,3,"1100-1159",14,1210,1410,5,1334,1415,41,1,2,"1300-1359",0,"",0,89,79,60,413,2,1,0
"54",1,1,2,6,"2016-01-02","UA",19977,648,"DEN","CO",1000,1003,3,3,0,0,"1000-1059",19,1022,1453,4,1458,1457,0,0,-1,"1400-1459",0,"",0,178,174,151,1290,6,1,0
"55",1,1,2,6,"2016-01-02","WN",19393,4893,"BWI","MD",1335,1331,-4,0,0,-1,"1300-1359",10,1341,1420,6,1435,1426,0,0,-1,"1400-1459",0,"",0,60,55,39,210,1,0,0
"56",1,1,2,6,"2016-01-02","WN",19393,4917,"BWI","MD",1045,1040,-5,0,0,-1,"1000-1059",8,1048,1126,6,1145,1132,0,0,-1,"1100-1159",0,"",0,60,52,38,210,1,1,1
"57",1,1,2,6,"2016-01-02","WN",19393,3203,"FLL","FL",1015,1013,-2,0,0,-1,"1000-1059",12,1025,1240,7,1300,1247,0,0,-1,"1300-1359",0,"",0,165,154,135,994,4,1,0
"58",1,1,2,6,"2016-01-02","WN",19393,5189,"HOU","TX",1045,1049,4,4,0,0,"1000-1059",8,1057,1411,5,1425,1416,0,0,-1,"1400-1459",0,"",0,160,147,134,1131,5,1,0
"59",1,1,2,6,"2016-01-02","WN",19393,6848,"MCO","FL",640,657,17,17,1,1,"0600-0659",12,709,905,6,855,911,16,1,1,"0800-0859",0,"",0,135,134,116,834,4,1,1
"60",1,1,2,6,"2016-01-02","WN",19393,6308,"MDW","IL",545,543,-2,0,0,-1,"0001-0559",9,552,754,7,805,801,0,0,-1,"0800-0859",0,"",0,80,78,62,402,2,1,1
"61",1,1,2,6,"2016-01-02","WN",19393,6534,"MDW","IL",1010,1004,-6,0,0,-1,"1000-1059",9,1013,1212,6,1225,1218,0,0,-1,"1200-1259",0,"",0,75,74,59,402,2,1,0
"62",1,1,2,6,"2016-01-02","WN",19393,5256,"ATL","GA",845,902,17,17,1,1,"0800-0859",19,921,1039,6,1025,1045,20,1,1,"1000-1059",0,"",0,100,103,78,526,3,1,1
"63",1,1,2,6,"2016-01-02","WN",19393,6515,"RSW","FL",910,909,-1,0,0,-1,"0900-0959",12,921,1129,7,1135,1136,1,0,0,"1100-1159",0,"",0,145,147,128,966,4,1,1
"64",1,1,2,6,"2016-01-02","WN",19393,4780,"TPA","FL",715,712,-3,0,0,-1,"0700-0759",10,722,919,6,930,925,0,0,-1,"0900-0959",0,"",0,135,133,117,873,4,1,1
"80",1,1,3,7,"2016-01-03","AA",19805,1677,"CLT","NC",20,14,-6,0,0,-1,"0001-0559",10,24,121,5,134,126,0,0,-1,"0001-0559",0,"",0,74,72,57,366,2,1,1
"132",1,1,4,1,"2016-01-04","DL",19790,1599,"ATL","GA",1115,1114,-1,0,0,-1,"1100-1159",17,1131,1243,7,1254,1250,0,0,-1,"1200-1259",0,"",0,99,96,72,526,3,1,0
"133",1,1,4,1,"2016-01-04","DL",19790,2590,"MSP","MN",1330,1327,-3,0,0,-1,"1300-1359",23,1350,1623,6,1625,1629,4,0,0,"1600-1659",0,"",0,115,122,93,726,3,0,0
"134",1,1,4,1,"2016-01-04","DL",19790,2615,"ATL","GA",1345,1342,-3,0,0,-1,"1300-1359",11,1353,1510,7,1524,1517,0,0,-1,"1500-1559",0,"",0,99,95,77,526,3,0,0
"135",1,1,4,1,"2016-01-04","DL",19790,1295,"ATL","GA",905,907,2,2,0,0,"0900-0959",17,924,1043,5,1041,1048,7,0,0,"1000-1059",0,"",0,96,101,79,526,3,1,1
"136",1,1,4,1,"2016-01-04","DL",19790,1462,"ATL","GA",1514,1521,7,7,0,0,"1500-1559",15,1536,1656,7,1659,1703,4,0,0,"1600-1659",0,"",0,105,102,80,526,3,0,0
"137",1,1,4,1,"2016-01-04","EV",20366,6055,"EWR","NJ",1617,1618,1,1,0,0,"1600-1659",12,1630,1728,10,1749,1738,0,0,-1,"1700-1759",0,"",0,92,80,58,319,2,0,0
"138",1,1,4,1,"2016-01-04","EV",20366,5938,"EWR","NJ",1325,1327,2,2,0,0,"1300-1359",10,1337,1434,9,1456,1443,0,0,-1,"1400-1459",0,"",0,91,76,57,319,2,0,0
"139",1,1,4,1,"2016-01-04","AA",19805,1252,"DFW","TX",825,820,-5,0,0,-1,"0800-0859",8,828,1146,5,1157,1151,0,0,-1,"1100-1159",0,"",0,152,151,138,1067,5,1,1
"140",1,1,4,1,"2016-01-04","AA",19805,1426,"DFW","TX",1045,1038,-7,0,0,-1,"1000-1059",17,1055,1412,6,1423,1418,0,0,-1,"1400-1459",0,"",0,158,160,137,1067,5,1,0
"141",1,1,4,1,"2016-01-04","AA",19805,1447,"DFW","TX",1410,1404,-6,0,0,-1,"1400-1459",12,1416,1735,7,1744,1742,0,0,-1,"1700-1759",0,"",0,154,158,139,1067,5,0,0
"142",1,1,4,1,"2016-01-04","AA",19805,1842,"CLT","NC",1320,1317,-3,0,0,-1,"1300-1359",16,1333,1432,6,1445,1438,0,0,-1,"1400-1459",0,"",0,85,81,59,366,2,0,0
"143",1,1,4,1,"2016-01-04","AA",19805,489,"PHX","AZ",955,1007,12,12,0,0,"0900-0959",16,1023,1601,6,1557,1607,10,0,0,"1500-1559",0,"",0,242,240,218,1814,8,1,0
"144",1,1,4,1,"2016-01-04","AA",19805,1705,"PHL","PA",1615,1608,-7,0,0,-1,"1600-1659",11,1619,1704,5,1736,1709,0,0,-2,"1700-1759",0,"",0,81,61,45,268,2,0,0
"145",1,1,4,1,"2016-01-04","AA",19805,1801,"CLT","NC",945,953,8,8,0,0,"0900-0959",25,1018,1116,4,1112,1120,8,0,0,"1100-1159",0,"",0,87,87,58,366,2,1,1
"146",1,1,4,1,"2016-01-04","AA",19805,1815,"CLT","NC",1145,1140,-5,0,0,-1,"1100-1159",26,1206,1302,7,1312,1309,0,0,-1,"1300-1359",0,"",0,87,89,56,366,2,1,0
"147",1,1,4,1,"2016-01-04","AA",19805,2096,"CLT","NC",800,817,17,17,1,1,"0800-0859",17,834,933,6,927,939,12,0,0,"0900-0959",0,"",0,87,82,59,366,2,1,1
"148",1,1,4,1,"2016-01-04","B6",20409,1285,"BOS","MA",625,620,-5,0,0,-1,"0600-0659",19,639,804,6,824,810,0,0,-1,"0800-0859",0,"",0,119,110,85,496,2,1,1
"149",1,1,4,1,"2016-01-04","OO",20304,5778,"ORD","IL",1106,1352,166,166,1,11,"1100-1159",59,1451,1651,5,1334,1656,202,1,12,"1300-1359",0,"",0,88,124,60,413,2,1,0
"150",1,1,4,1,"2016-01-04","UA",19977,648,"DEN","CO",959,1000,1,1,0,0,"0900-0959",23,1023,1502,5,1457,1507,10,0,0,"1400-1459",0,"",0,178,187,159,1290,6,1,0
"151",1,1,4,1,"2016-01-04","UA",19977,734,"ORD","IL",1445,1442,-3,0,0,-1,"1400-1459",28,1510,1706,5,1716,1711,0,0,-1,"1700-1759",0,"",0,91,89,56,413,2,0,0
"152",1,1,4,1,"2016-01-04","UA",19977,1492,"DEN","CO",14,13,-1,0,0,-1,"0001-0559",17,30,457,6,512,503,0,0,-1,"0001-0559",0,"",0,178,170,147,1290,6,1,1
"153",1,1,4,1,"2016-01-04","WN",19393,111,"ATL","GA",830,859,29,29,1,1,"0800-0859",16,915,1031,4,1010,1035,25,1,1,"1000-1059",0,"",0,100,96,76,526,3,1,1
"154",1,1,4,1,"2016-01-04","WN",19393,1541,"MDW","IL",650,649,-1,0,0,-1,"0600-0659",9,658,900,10,910,910,0,0,0,"0900-0959",0,"",0,80,81,62,402,2,1,1
"155",1,1,4,1,"2016-01-04","WN",19393,1598,"MDW","IL",1145,1145,0,0,0,0,"1100-1159",8,1153,1357,6,1400,1403,3,0,0,"1400-1459",0,"",0,75,78,64,402,2,1,0
"156",1,1,4,1,"2016-01-04","WN",19393,2902,"HOU","TX",1350,1350,0,0,0,0,"1300-1359",11,1401,1717,9,1725,1726,1,0,0,"1700-1759",0,"",0,155,156,136,1131,5,0,0
"157",1,1,4,1,"2016-01-04","WN",19393,783,"LAS","NV",820,818,-2,0,0,-1,"0800-0859",12,830,1517,7,1525,1524,0,0,-1,"1500-1559",0,"",0,245,246,227,1910,8,1,0
"158",1,1,4,1,"2016-01-04","WN",19393,379,"MCO","FL",940,935,-5,0,0,-1,"0900-0959",12,947,1139,5,1155,1144,0,0,-1,"1100-1159",0,"",0,135,129,112,834,4,1,1
"159",1,1,4,1,"2016-01-04","WN",19393,1863,"MCO","FL",1515,1520,5,5,0,0,"1500-1559",10,1530,1725,7,1730,1732,2,0,0,"1700-1759",0,"",0,135,132,115,834,4,0,0
"160",1,1,4,1,"2016-01-04","WN",19393,285,"TPA","FL",1000,1000,0,0,0,0,"1000-1059",8,1008,1204,6,1215,1210,0,0,-1,"1200-1259",0,"",0,135,130,116,873,4,1,0
"161",1,1,4,1,"2016-01-04","WN",19393,870,"BWI","MD",1510,1519,9,9,0,0,"1500-1559",8,1527,1604,6,1610,1610,0,0,0,"1600-1659",0,"",0,60,51,37,210,1,0,0
"162",1,1,4,1,"2016-01-04","WN",19393,2250,"BWI","MD",1105,1100,-5,0,0,-1,"1100-1159",23,1123,1202,5,1200,1207,7,0,0,"1200-1259",0,"",0,55,67,39,210,1,1,0
"183",1,1,5,2,"2016-01-05","EV",20366,4260,"EWR","NJ",659,658,-1,0,0,-1,"0600-0659",21,719,817,7,831,824,0,0,-1,"0800-0859",0,"",0,92,86,58,319,2,1,1
"184",1,1,5,2,"2016-01-05","B6",20409,1285,"BOS","MA",630,647,17,17,1,1,"0600-0659",17,704,815,3,828,818,0,0,-1,"0800-0859",0,"",0,118,91,71,496,2,1,1
