"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"1",1,1,1,5,"2016-01-01","WN",19393,3339,"PIT","PA","DAL","TX",600,559,-1,0,0,-1,"0600-0659",29,628,819,3,815,822,7,0,0,"0800-0859",0,"",0,195,203,171,1060,5,1,1
"2",1,1,2,6,"2016-01-02","DL",19790,2200,"PIT","PA","MSP","MN",640,652,12,12,0,0,"0600-0659",9,701,750,3,813,753,0,0,-2,"0800-0859",0,"",0,153,121,109,726,3,1,1
"3",1,1,2,6,"2016-01-02","DL",19790,2494,"PIT","PA","DTW","MI",629,639,10,10,0,0,"0600-0659",17,656,746,10,745,756,11,0,0,"0700-0759",0,"",0,76,77,50,201,1,1,1
"4",1,1,2,6,"2016-01-02","EV",20366,4232,"PIT","PA","EWR","NJ",1124,1127,3,3,0,0,"1100-1159",10,1137,1238,12,1259,1250,0,0,-1,"1200-1259",0,"",0,95,83,61,319,2,1,0
"5",1,1,2,6,"2016-01-02","EV",20366,4453,"PIT","PA","EWR","NJ",1254,1308,14,14,0,0,"1200-1259",14,1322,1415,7,1429,1422,0,0,-1,"1400-1459",0,"",0,95,74,53,319,2,0,0
"6",1,1,2,6,"2016-01-02","AA",19805,1252,"PIT","PA","DFW","TX",1237,1233,-4,0,0,-1,"1200-1259",11,1244,1422,6,1455,1428,0,0,-2,"1400-1459",0,"",0,198,175,158,1067,5,0,0
"7",1,1,2,6,"2016-01-02","AA",19805,616,"PIT","PA","LGA","NY",620,614,-6,0,0,-1,"0600-0659",13,627,722,25,754,747,0,0,-1,"0700-0759",0,"",0,94,93,55,335,2,1,1
"8",1,1,2,6,"2016-01-02","AA",19805,625,"PIT","PA","PHX","AZ",659,657,-2,0,0,-1,"0600-0659",8,705,912,46,953,958,5,0,0,"0900-0959",0,"",0,294,301,247,1814,8,1,1
"9",1,1,2,6,"2016-01-02","AA",19805,2024,"PIT","PA","PHL","PA",905,857,-8,0,0,-1,"0900-0959",10,907,951,11,1021,1002,0,0,-2,"1000-1059",0,"",0,76,65,44,268,2,1,1
"10",1,1,2,6,"2016-01-02","AA",19805,2049,"PIT","PA","CLT","NC",515,510,-5,0,0,-1,"0001-0559",13,523,623,9,648,632,0,0,-2,"0600-0659",0,"",0,93,82,60,366,2,1,1
